番号,名言（英語）,名言の日本語訳,発言者,発言者の情報,深い文法解説,写真のURL
17,Keep your face always toward the sunshine—and shadows will fall behind you.,常に太陽のほうを向いていなさい。そうすれば影はあなたの後ろに落ちるから。,Walt Whitman,アメリカの詩人、随筆家。代表作に詩集『草の葉』がある。,【命令文 + and】 「〜しなさい、そうすれば･･･」という構文。太陽（sunshine）と影（shadows）を対置させ、視点を変えれば現実が変わることを論理的に示しています。,-
18,Life is 10% what happens to me and 90% of how I react to it.,人生は、自分に起きることが10%、それにどう反応するかが90%だ。,Charles R. Swindoll,アメリカの牧師、作家。キリスト教関連のラジオ番組や著書で広く知られる。,【名詞節の対比】 what節（起きること）とhow節（どう反応するか）を数値（10% vs 90%）で対比。人生の本質は環境ではなく、自らの「反応（react）」にあることを強調しています。,-
19,"Knowing is not enough, we must apply. Willing is not enough, we must do.",知っているだけでは不十分だ、応用しなければ。意欲があるだけでは不十分だ、実行しなければ。,Bruce Lee,香港の武道家、俳優。截拳道（ジークンドー）を創始し、世界的アクションスターとなった。,【動名詞の主語】 知ること（Knowing）と意欲（Willing）を主語にし、助動詞 must で強い義務を表現。apply（応用する）と do（実行する）を並べて行動の重要性を説いています。,-
20,It does not matter how slowly you go as long as you do not stop.,止まりさえしなければ、どんなにゆっくり進んでも構わない。,Confucius（孔子）,古代中国の思想家、哲学者。儒教の始祖。,【形式主語と条件の接続詞】 Itは形式主語で、真の主語は how節。as long as は「〜である限りは」という強い条件を示し、継続の重要性を論理的に解説しています。,-
21,Be yourself; everyone else is already taken.,自分自身でありなさい。他の人はすでに取られているのだから。,Oscar Wilde,アイルランド出身の詩人、作家、劇作家。『幸福な王子』などで知られる。,【現在完了の受動態】 taken は「取られている、予約済み」という状態。セミコロン（;）を使って理由を補足し、「自分以外の席は空いていない」というユーモアのある表現になっています。,-
22,Ask not what your country can do for you — ask what you can do for your country.,国があなたに何をしてくれるかを問うのではなく、あなたが国に何ができるかを問いなさい。,John F. Kennedy,第35代アメリカ合衆国大統領。若くして就任し、アポロ計画などを推進した。,【倒置に近い古風な否定】 本来 Don't ask ですが、あえて Ask not とすることで強い宣言のような響きに。what節の内容を入れ替える（国の奉仕 vs 自己の貢献）ことで対比を際立たせています。,-
23,Believe you can and you're halfway there.,できると信じなさい。そうすれば半分目標は達成されたようなものだ。,Theodore Roosevelt,第26代アメリカ合衆国大統領。自然保護や独占禁止法の適用を推進した。,【接続詞andの帰結】 「信じなさい、そうすれば･･･」の形。halfway there は「（目的地への）道半ばにいる」という慣用表現で、確信が成功の半分を占めることを示唆しています。,-
24,Every strike brings me closer to the next home run.,ストライクを振るたびに、次のホームランに近づく。,Babe Ruth,アメリカの元プロ野球選手。野球界の歴史に残る伝説的なホームラン打者。,【第4文型的な第3文型】 「bring A B」のように見えますが、A（自分）を B（ホームラン）へと近づけるという構造。closer は比較級で、一歩一歩の着実な進展を意味しています。,-
25,The purpose of our lives is to be happy.,私たちの人生の目的は、幸せになることだ。,Dalai Lama,チベット仏教の最高指導者。非暴力によるチベットの平和的解決を訴え続けている。,【不定詞の名詞的用法】 目的（purpose）＝ 幸福であること（to be happy）という非常に純粋な SVC（第2文型）。迷いのない力強い断定です。,-
26,It's fine to celebrate success but it is more important to heed the lessons of failure.,成功を祝うのは良いことだが、より重要なのは失敗の教訓に耳を傾けることだ。,Bill Gates,Microsoftの共同創業者。世界的な実業家であり、慈善活動家。,【形式主語 It】 形式主語 It が指す内容は、後ろの to不定詞句。比較級 more important を使い、成功（success）よりも失敗（failure）から学ぶことの価値を比較・強調しています。,-
27,Turn your wounds into wisdom.,傷を叡智に変えなさい。,Oprah Winfrey,アメリカのテレビ司会者、プロデューサー。自身のトーク番組で多大な影響力を持つ。,【動詞 turn の用法】 「turn A into B」で「AをBに変える」。マイナスのもの（wounds/傷）をプラスのもの（wisdom/知恵）に昇華させるという、変化の動詞が使われています。,-
28,"Float like a butterfly, sting like a bee.",蝶のように舞い、蜂のように刺す。,Muhammad Ali,アメリカの元プロボクサー。ヘビー級チャンピオンであり、公民権運動にも関わった。,【直喩法 simile】 like を使った比喩を2つ並べることで、軽やかさ（float）と鋭さ（sting）という相反する美徳をリズム良く表現しています。,-
29,What would life be if we had no courage to attempt anything?,もし何も試みる勇気がなかったら、人生はどうなってしまうだろうか？,Vincent van Gogh,オランダのポスト印象派の画家。『ひまわり』や『星月夜』などで知られる。,【仮定法過去】 「もし勇気がなかったら（実際はあるが）」という現在の事実に反する想定。courageを修飾する不定詞 to attempt（試みるための）が勇気の内容を具体化しています。,-
30,Life would be tragic if it weren't funny.,もし面白くなければ、人生は悲劇だっただろう。,Stephen Hawking,イギリスの理論物理学者。ブラックホールや宇宙論の研究で多大な功績を残した。,【仮定法過去】 「もし面白くなかったら（実際は面白いが）」という仮定。weren't を使うことで、現実への感謝やユーモアの重要性を逆説的に述べています。,-
31,The best way to predict the future is to create it.,未来を予測する最良の方法は、それを創り出すことだ。,Peter Drucker,オーストリア出身の経営学者。「マネジメントの父」と呼ばれる。,【最上級と不定詞】 最上の方法（The best way）の内容を to predict（予測するための）が説明。結論として to create（創り出すこと）を持ってくることで、受動から能動への転換を促しています。,-
32,"If you cannot do great things, do small things in a great way.",偉大なことができないのなら、小さなことを偉大なやり方でやりなさい。,Napoleon Hill,アメリカの著作家。成功哲学の提唱者であり『思考は現実化する』の著者。,【副詞句 in a great way】 できないこと（great things）と、できること（small things）の対比。やり方（in a great way）次第で価値が決まるという、質の重要性を説く構造です。,-
33,Change your thoughts and you change your world.,考え方を変えれば、あなたの世界が変わる。,Norman Vincent Peale,アメリカの牧師、著作家。「積極的思考（ポジティブ・シンキング）」を提唱した。,【命令文 + and】 思考（thoughts）を変えるという「原因」が、世界（world）を変えるという「結果」に直結することを and で示しています。,-
34,You miss 100% of the shots you don't take.,打たないシュートは、100％外れる。,Wayne Gretzky,カナダの元プロアイスホッケー選手。「史上最高のホッケー選手」と称される。,【関係代名詞の省略】 shots と you の間に目的格の関係代名詞 that/which が省略されています。「打たなかったシュート」という形容詞の役割をし、不行動のリスクを数値化しています。,-
35,The only way to do great work is to love what you do.,偉大な仕事をする唯一の方法は、自分のしていることを愛することだ。,Steve Jobs,Appleの共同創業者。MacやiPhoneなどを生み出した。,【what節】 what you do は「あなたがすること（＝仕事）」。関係代名詞の what は the thing that と書き換え可能で、愛という感情が成功の条件であることを述べています。,-
36,"Strive not to be a success, but rather to be of value.",成功者になろうとするのではなく、価値ある人間になろうとしなさい。,Albert Einstein,ドイツ生まれの理論物理学者。相対性理論の提唱者。,【be of + 抽象名詞】 「be of value」は「valuable（価値がある）」と同じ意味。成功（success）という外的な結果より、価値（value）という内面的な質を追求するよう strive（励む）を求めています。,-
37,We become what we think about.,私たちは、自分が考えているような人間になる。,Earl Nightingale,アメリカのラジオパーソナリティ、自己啓発作家。,【先行詞を含む関係代名詞】 what は「〜すること」。think about（〜について考える）の内容が、そのまま主語 we の正体（becomeの補語）になるという、思考と存在の直結を表しています。,-
38,"Your time is limited, so don't waste it living someone else's life.",あなたの時間は限られている。だから他人の人生を生きて無駄にしてはいけない。,Steve Jobs,Appleの共同創業者。卓越したプレゼンやビジョンで世界を変えた。,【分詞構文的な-ing】 living... は「〜しながら（生きることで）」という付帯状況。他人の人生（someone else's life）という言葉を使い、個の尊厳を強調しています。,-
39,I am not a product of my circumstances. I am a product of my decisions.,私は自分の環境の産物ではない。自分の決断の産物だ。,Stephen Covey,アメリカの作家、経営コンサルタント。『7つの習慣』の著者。,【名詞句の対置】 環境（circumstances）と決断（decisions）を product（産物）という言葉で比較。否定文と肯定文を重ねることで、自己責任の重要性を強く打ち出しています。,-
40,Every child is an artist. The problem is how to remain an artist once he grows up.,子どもは皆アーティストだ。問題は、大人になってもアーティストでいられるかどうかだ。,Pablo Picasso,スペイン出身の画家、彫刻家。キュビスムの創始者の一人。,【疑問詞 + 不定詞】 how to remain は「どうやって〜のままでいられるか」。once は「いったん〜すると」という接続詞で、成長という避けられない変化に対する課題を提示しています。,-
41,The best revenge is massive success.,最高の復讐とは、大成功することだ。,Frank Sinatra,アメリカのジャズ・ポピュラー歌手、俳優。数々のヒット曲を持つ。,【最上級 SVC】 復讐（revenge）の定義を、相手への攻撃ではなく自己の成功（massive success）へと書き換える、短く鋭い断定の形です。,-
42,"There is only one way to avoid criticism: do nothing, say nothing, and be nothing.",批判を避ける唯一の方法は、何もしないこと、何も言わないこと、何者にもならないことだ。,Aristotle,古代ギリシャの哲学者。プラトンの弟子であり、アレクサンドロス大王の家庭教師。,【There is 構文とコロン】 コロン（:）を使って way の中身を具体的に説明。nothing（何もない）を3回繰り返すことで、批判を恐れることの虚しさを強調しています。,-
43,Go confidently in the direction of your dreams. Live the life you have imagined.,夢の方向へ自信を持って進みなさい。思い描いた人生を生きなさい。,Henry David Thoreau,アメリカの作家、思想家、詩人。『ウォールデン 森の生活』の著者。,【副詞の強調】 confidently（自信を持って）を動詞 go の直後に配置。後半は imagined（想像した）という過去分詞が life を修飾し、過去のビジョンを現在に繋いでいます。,-
44,Everything you’ve ever wanted is on the other side of fear.,あなたがこれまで望んだすべてのものは、恐怖の向こう側にある。,George Addair,アメリカのモチベーショナル・スピーカー、実業家。,【関係代名詞の省略】 everything と you 間に that が省略されています。fear（恐怖）の「向こう側（other side）」という場所を示すことで、一歩踏み出す勇気を促しています。,-
45,Start where you are. Use what you have. Do what you can.,今いる場所から始めよ。持っているものを使え。できることをせよ。,Arthur Ashe,アメリカの元プロテニス選手。黒人選手として初めて四大大会で優勝した。,【関係副詞 where と関係代名詞 what】 3つの短い命令文の並列。場所（where）、所有物（what）、能力（what）という現実を認め、その場で行動を開始することを求める力強いリズムです。,-
46,"Everything has beauty, but not everyone can see.",すべてのものに美しさはあるが、誰もがそれを見られるわけではない。,Confucius（孔子）,古代中国の思想家、哲学者。儒教の始祖。,【部分否定】 not everyone は「全員が〜なわけではない（一部の人は見ている）」。すべての人に可能性があると同時に、視点の重要性を説いています。,-
47,How wonderful it is that nobody need wait a single moment before starting to improve the world.,世界を良くするために、誰もが一瞬たりとも待つ必要がないというのは、なんて素晴らしいことだろう。,Anne Frank,ユダヤ系の少女。『アンネの日記』の著者として知られる。,【感嘆文 How...】 it is wonderful that... を強調した形。nobody need wait（誰も待つ必要がない）という強い肯定を、感嘆文で包み込んで感動を表現しています。,-
48,"When I let go of what I am, I become what I might be.",今の自分を手放したとき、私は本来なるべき自分になる。,Lao Tzu（老子）,古代中国の哲学者。道教の創始者とされる。,【現在形と助動詞 might】 let go of は「〜を手放す」。what I am（今の自分）と、what I might be（なるかもしれない自分＝可能性）を対比。手放すことが成長の条件であることを示しています。,-
49,"Life is not measured by the number of breaths we take, but by the moments that take our breath away.",人生は呼吸の数で測るのではなく、息を呑むような瞬間の数で測るものだ。,Maya Angelou,アメリカの詩人、作家、公民権運動活動家。,【Not A but B と言葉遊び】 breath（呼吸）と take one's breath away（息を呑む/感動させる）という同じ単語を使った対比。人生を「量」ではなく「感動の質」で測るべきという哲学を構造化しています。,-
50,Happiness is not something readymade. It comes from your own actions.,幸せは既製品ではない。あなた自身の行動から生まれるものだ。,Dalai Lama,チベット仏教の最高指導者。ノーベル平和賞受賞者。,【後置修飾】 readymade（既製品の）という形容詞が something を後ろから修飾。幸福は「受動的に与えられるもの」ではなく「能動的に生み出すもの（comes from actions）」であると論理的に述べています。,-
51,"If you're offered a seat on a rocket ship, don't ask what seat! Just get on.",ロケットの座席を与えられたなら、どの席かなんて聞くな！ただ乗り込め。,Sheryl Sandberg,アメリカの実業家。Meta（旧Facebook）の元COO。,【動詞の語法と対比】 前半は「数える」という他動詞。後半の count は「重要である」という自動詞です。使役動詞 make を使った「make A B（AをBの状態にする）」の形で、受動的から能動的な生き方への転換を促しています。,-
52,"We must believe that we are gifted for something, and that this thing, at whatever cost, must be attained.",私たちは何かの才能を授かっていると信じなければならない。そしてそれは、どんな犠牲を払ってでも達成されなければならない。,Marie Curie,ポーランド出身の物理学者・化学者。放射能の研究でノーベル賞を2度受賞。,【代名詞と命令文】 it は a happy life を指します。「tie A to B（AをBに結びつける）」という動詞の語法が核です。幸福を他者や物質（外的な要因）ではなく、目標（自律的な要因）に関連付けるべきという論理構造です。,-
53,Challenges are what make life interesting and overcoming them is what makes life meaningful.,困難こそが人生を面白くし、それを乗り越えることが人生を意味あるものにする。,Joshua J. Marine,アメリカの作家。自己啓発に関する名言を多く残している。,【自動詞 get の変化】 2つの get が使われています。主句は「人生が好転する」、when節は「自分自身が成長する」という変化を表しています。「環境が変わるのを待つのではなく、自分が変わるのが先だ」という因果関係を強調しています。,-
54,"If you want to lift yourself up, lift up someone else.",自分を引き上げたいなら、他の誰かを引き上げなさい。,Booker T. Washington,アメリカの教育者、著作家。アフリカ系アメリカ人の地位向上に尽力した。,【現在分詞と過去分詞】 dreaming（夢を見続けている状態）という能動的な現在分詞と、focused（集中させられている＝集中した状態）という受動的な過去分詞を使い分けています。動と静のバランスを保つよう求めています。,-
55,"Do what you can, with what you have, where you are.",今いる場所で、持っているもので、できることをしなさい。,Theodore Roosevelt,第26代アメリカ合衆国大統領。ノーベル平和賞を受賞した。,【接尾辞 -able】 figure out（解決する）に -able（できる）がついた造語に近い表現です。不可能なことは何一つなく、すべては「解決可能（figureoutable）」であるという力強い断定です。,-
56,A person who never made a mistake never tried anything new.,一度も失敗をしたことがない人は、何も新しいことに挑戦したことがない人だ。,Albert Einstein,ドイツ生まれの理論物理学者。20世紀最大の物理学者とも称される。,【関係副詞の省略】 everywhere と you の間には (that) または (where) が省略されており、副詞節として「行くところどこへでも」という意味を作っています。愛を「広げる（spread）」という能動的な動作を強調しています。,-
57,There are no traffic jams along the extra mile.,もう一歩踏み込んだ先（エクストラ・マイル）に、渋滞はない。,Roger Staubach,アメリカの元アメリカンフットボール選手、実業家。,【関係代名詞 what】 「〜すること（もの）」という意味の what 節を2つ並べて対比させています。道徳的な正しさ（right）と、安易な道（easy）の選択を迫る、簡潔で鋭い対照構造です。,-
58,It is never too late to be what you might have been.,なっていたかもしれない自分になるのに、遅すぎるということはない。,George Eliot,19世紀イギリスの女性小説家。（本名：メアリー・アン・エヴァンス）,【動詞 dare の語法】 dare to [動詞] は「あえて〜する、思い切って〜する」という意味。失敗を「避けるもの」ではなく「挑戦の結果として受け入れるもの」と定義し直しています。,-
59,What you get by achieving your goals is not as important as what you become by achieving your goals.,目標を達成して得るものよりも、目標を達成することで「どんな人間になるか」の方が重要だ。,Zig Ziglar,アメリカの自己啓発作家、モチベーショナル・スピーカー。,【不定詞の副詞的用法】 To handle... は「〜を扱うためには」という目的。自分には理性を、他人には共感を使うという対比を、セミコロン（;）を用いた並列構造で美しく表現しています。,-
60,Education is the most powerful weapon which you can use to change the world.,教育とは、世界を変えるために用いることができる最も強力な武器である。,Nelson Mandela,南アフリカ共和国の元大統領。アパルトヘイト撤廃に尽力した。,【代動詞 do】 最後の do は last（続く）という動詞の繰り返しを避ける代動詞です。困難（状況）は一時的だが、強い人間（存在）は持続するという、対照的な性質を浮き彫りにしています。,-
61,"I can accept failure, everyone fails at something. But I can't accept not trying.",失敗を受け入れることはできる。誰でも何かに失敗するからだ。しかし、挑戦しないことは受け入れられない。,Michael Jordan,アメリカの元プロバスケットボール選手。「バスケットボールの神様」と呼ばれる。,【現在進行形と動名詞】 go through は「（苦難などを）通り抜ける」。現在進行形にすることで「今まさに地獄の中にいる」という臨場感を出し、keep -ing で「歩みを止めるな」と促しています。,-
62,"To be, or not to be, that is the question.",生きるべきか、死ぬべきか、それが問題だ。,William Shakespeare,イギリスの劇作家、詩人。『ハムレット』や『ロミオとジュリエット』の作者。,【前置詞の副詞的用法】 out（外への道）と through（突き抜けること）を対置させています。困難を「避ける」のではなく「突き進んで通り抜ける」ことこそが唯一の解決策であるという逆説的な表現です。,-
63,Imagination rules the world.,想像力が世界を支配する。,Napoleon Bonaparte,フランスの軍人、皇帝。ヨーロッパ大陸の大半を支配した。,【不定詞の目的】 odd（奇妙な、変な）と number one（一番）を繋いでいます。平凡（even）ではないことこそが、卓越するための条件であるという言葉遊びが含まれています。,-
64,"If you judge people, you have no time to love them.",人を批判していると、人を愛する時間がなくなってしまう。,Mother Teresa,カトリック教会の修道女。ノーベル平和賞受賞者。,【形容詞の役割】 foundational（基礎となる）という強い形容詞が key を修飾。思考や計画よりも、まず「行動（Action）」がすべての土台であるという確信に満ちた第2文型（SVC）です。,-
65,"Geniuses are made, not born.",天才は生まれつきではない、作られるものだ。,Thomas Edison,アメリカの発明家。努力と試行錯誤の重要性を説いた。,【等位接続詞 for】 ここでの for は「というのは〜だからだ」という理由を補足する接続詞。嵐（storms）という困難を、技術（sail）を学ぶための絶好の機会と捉える前向きな理由付けがなされています。,-
66,Action is the foundational key to all success.,行動はすべての成功の基本となる鍵である。,Pablo Picasso,スペイン出身の画家。生涯で数万点に及ぶ作品を制作した。,【先行詞を含む he who】 he who は「〜する人は誰でも」という古風な表現。why（生きる理由）と how（生きる方法・困難）を名詞として使い、精神的な目的があれば手段の問題は克服できると説いています。,-
67,The journey of a thousand miles begins with one step.,千里の道も一歩から。,Lao Tzu（老子）,古代中国の哲学者。道教の創始者とされる。,【動名詞の補語】 「成功とは〜することだ」という SVC の形。from failure to failure（失敗から失敗へ）という過酷な移動を、enthusiasm（熱意）を失わずに続けることだと定義しています。,-
68,In the middle of difficulty lies opportunity.,困難の中にこそ、機会（チャンス）がある。,Albert Einstein,ドイツ生まれの理論物理学者。独自の視点で宇宙の真理を探求した。,【接尾辞 -less】 limit（制限）に -less（〜がない）がついた limitless（無限の）。思考の中の制限（limitations）を、想像力（imagination）によって打ち破るという劇的な変化を描いています。,-
69,Energy and persistence conquer all things.,エネルギーと忍耐が、すべてのものを征服する。,Benjamin Franklin,アメリカの政治家、外交官、物理学者。避雷針の発明でも知られる。,【第4文型を含む関係代名詞】 that節内の give success its flavor は「成功にその風味を与える」という give A B の形。失敗を成功という料理を引き立てる「調味料（condiment）」に例えています。,-
70,He who has a why to live for can bear almost any how.,生きる「理由」を持っている者は、ほとんどどんな「方法（困難）」にも耐えることができる。,Friedrich Nietzsche,ドイツの哲学者。『ツァラトゥストラはかく語りき』の著者。,【命令文 + and】 「信じなさい、そうすれば･･･」。at your feet（足元にある）という慣用表現を使い、自己信頼が世界を征服するほどの力を生むという結果を示しています。,-
71,It is not the mountain we conquer but ourselves.,私たちが征服するのは山ではなく、私たち自身だ。,Edmund Hillary,ニュージーランドの登山家。人類初のエベレスト登頂者の一人。,【助動詞 may】 may は「〜かもしれない」という可能性。大きな目標（moon）を狙えば、たとえ失敗してもそれなりの成果（star）が得られるという、高い志を推奨する比喩表現です。,-
72,"Never, never, never give up.",決して、決して、決して諦めるな。,Winston Churchill,イギリスの元首相。不屈の精神で数々の名言を残した。,【不定詞の副詞的用法】 give up A to go for B（Bを追求するためにAを諦める）。good（良いもの）に満足せず、great（偉大なもの）を目指すための決断を促す構造です。,-
73,The mind is everything. What you think you become.,心がすべてである。あなたは、自分が考えた通りの人間になる。,Buddha（ブッダ）,仏教の開祖。本名はゴータマ・シッダールタ。,【強調構文】 「It is [強調したい語句] that ...」。もっとも暗い時期（during our darkest moments）こそが、光を見るために集中すべき時であると、時期を強調しています。,-
74,Time is money.,時は金なり。,Benjamin Franklin,アメリカ建国の父の一人。勤勉さを重んじた。,【倒置】 本来 Opportunity lies in... という語順ですが、場所を表す句を文頭に置いて倒置させています。「まさに困難の真ん中に」という場所を強調し、発見の驚きを表現しています。,-
75,To love and be loved is to feel the sun from both sides.,愛し愛されることは、両側から太陽を浴びるようなものだ。,David Viscott,アメリカの精神科医、作家。,【関係代名詞の省略】 2つの person の後ろにそれぞれ関係代名詞が省略されています。「運命（destined）」で決まる自分ではなく、「決断（decide）」で決まる自分こそが本物であるという対比です。,-
76,"Love all, trust a few, do wrong to none.",すべての人を愛し、少しの人を信じ、誰にも悪を行うな。,William Shakespeare,イギリスの劇作家、詩人。英語文学において最も偉大な作家とされる。,【同等比較と副詞 further】 as far as...（見える限り遠くまで）。目的地に到達（get there）したとき、視界が広がりさらに遠く（further）が見えるようになるという、継続的な成長のプロセスを描いています。,-
77,An unexamined life is not worth living.,吟味されない人生は生きる価値がない。,Socrates,古代ギリシャの哲学者。西洋哲学の基礎を築いた一人。,【動詞 prepare の語法】 「prepare A for B（AにBの準備をさせる）」。ordinary（凡庸な）に接頭辞 extra-（超える）がついた extraordinary（非凡な）という対比が、苦難の価値を説明しています。,-
78,"I think, therefore I am.",我思う、故に我あり。,René Descartes,フランスの哲学者、数学者。近代哲学の父と呼ばれる。,【省略を伴う並列】 and 以降は Keep... が省略されています。高い理想（stars）を見つめつつも、現実（ground）にしっかり足を着けるという、理想と現実のバランスを説いています。,-
79,"You only live once, but if you do it right, once is enough.",人生は一度きり。でも、正しく生きれば一度で十分だ。,Mae West,アメリカの女優、劇作家、セックスシンボル。,【進行中の表現】 under construction（建設中）。成功への道は完成されたものではなく、常に改善と努力が必要な未完成のプロセスであることを工事現場に例えて表現しています。,-
80,Get busy living or get busy dying.,必死に生きるか、必死に死ぬかだ。,Stephen King,アメリカのモダンホラー小説家。『ショーシャンクの空に』の原作などで知られる。,【現在分詞の省略】 walk past（通り過ぎる）の目的語が先行詞の standard（基準）。見て見ぬふりをして通り過ぎることは、その低い基準を容認したことと同じであるという、厳しい自己規律を促す構造です。,-
81,Love is composed of a single soul inhabiting two bodies.,愛とは、二つの肉体に宿る一つの魂でできている。,Aristotle,古代ギリシャの哲学者。多岐にわたる学問を体系化した。,【不定詞の形容詞的用法】 to try（試みるという）が decision（決断）を修飾。どんな偉大な成果も、最初の一歩である「試してみるという決断」から始まるという因果関係を述べています。,-
82,"Without music, life would be a mistake.",音楽のない人生は、間違いだろう。,Friedrich Nietzsche,ドイツの哲学者。芸術や文化に対する深い洞察を持っていた。,【関係副詞の省略】 the way (how) you look...。視点（見方）を変えれば、対象（見ているもの）そのものが変わって見えるという、認識の変化が現実を変えることを示す論理的構造です。,-
